,tr_main_law,tr_draft,tr_category
689,On approval of the draft protocol of discussion between the Korean Agency for International Cooperation of the Republic of Korea and the Jogorku Kenesh of the Kyrgyz Republic on the digitalization project of the Jogorku Kenesh (Parliament) of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
690,"On Amendments to the Law of the Kyrgyz Republic On the Regulations of the Jogorku Kenesh of the Kyrgyz Republic""",On the draft resolution of the Jogorku Kenesh,On the formation of a conciliation group to develop an agreed version of the Law of the Kyrgyz Republic
691,"On amendments to the Law of the Kyrgyz Republic on State Civil Service and Municipal Service"", returned with the objection of the President of the Kyrgyz Republic""",On the draft resolution of the Jogorku Kenesh,On the formation of a conciliation group to develop an agreed version of the Law of the Kyrgyz Republic
692,About organic production,About the draft Law,Empty
693,"About trademarks, service marks, geographical indications and names of places of origin of goods",About the draft Law,Empty
694,About warehouses and warehouse certificates,On amendments to the Law of the Kyrgyz Republic,About the draft Law
695,About real estate activity in the Kyrgyz Republic,About the draft Law,Empty
696,About the exchange of credit information,On amendments to the Law of the Kyrgyz Republic,About the draft Law
697,On customs regulation,On amendments to the Law of the Kyrgyz Republic,About the draft Law
698,"On special protective, anti-dumping and countervailing measures for the import of goods",About the draft Law,Empty
699,"On the ratification of the Cooperation Agreement between the Cabinet of Ministers of the Kyrgyz Republic, represented by the Ministry of Economy and Commerce of the Kyrgyz Republic, and the Abu Dhabi Development Fund on the establishment of a Joint Holding Company in the Kyrgyz Republic, signed on October 31, 2022 in Abu Dhabi, United Arab Emirates",About the draft Law,Empty
700,"On the ratification of the Cooperation Agreement between the Cabinet of Ministers of the Kyrgyz Republic, represented by the Ministry of Economy and Commerce of the Kyrgyz Republic, and the Abu Dhabi Development Fund on the establishment of a Joint Holding Company in the Kyrgyz Republic, signed on October 31, 2022 in Abu Dhabi, United Arab Emirates",About the draft Law,Empty
701,"On the ratification of the Cooperation Agreement between the Cabinet of Ministers of the Kyrgyz Republic, represented by the Ministry of Economy and Commerce of the Kyrgyz Republic, and the Abu Dhabi Development Fund on the establishment of a Joint Holding Company in the Kyrgyz Republic, signed on October 31, 2022 in Abu Dhabi, United Arab Emirates",About the draft Law,Empty
702,On amendments to some resolutions of the Jogorku Kenesh of the Kyrgyz Republic (),On the draft resolution of the Jogorku Kenesh,Empty
703,"Strengthening social assistance and labor market programs signed on October 5, 2022 in Bishkek",On the ratification of the Financing Agreement between the Kyrgyz Republic and the International Development Association for the project,About the draft Law
704,About emergency services and the status of rescuers,On amendments to the Law of the Kyrgyz Republic,About the draft Law
705,On Civil protection,On amendments to the Law of the Kyrgyz Republic,About the draft Law
706,On hydrometeorological activities in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
707,On amendments to some legislative acts of the Kyrgyz Republic in the field of intellectual property,About the draft Law,Empty
708,About innovation activities,About the draft Law,Empty
709,On copyright and related rights and invalidation of certain legislative acts of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
710,Patent Law,About the draft Law,Empty
711,About the Supreme Court of the Kyrgyz Republic and local courts,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
712,"On approval of the structure of local courts and the staffing of judges of local courts of the Kyrgyz Republic ,",On amendments to the Law of the Kyrgyz Republic,About the draft Law
713,On amendments to some legislative acts of the Kyrgyz Republic in the field of state social insurance,About the draft Law,Empty
714,On guarantees of the activities of the President of the Kyrgyz Republic and the status of the ex-President of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
715,"On amendments to some legislative acts of the Kyrgyz Republic (the Civil Code, the Civil Procedure Code, the Administrative Procedure Code)",About the draft Law,Empty
716,On the status of bailiffs and on enforcement proceedings,On amendments to the Law of the Kyrgyz Republic,About the draft Law
717,On the promotion of employment,On amendments to the Law of the Kyrgyz Republic,About the draft Law
718,On amendments to some legislative acts of the Kyrgyz Republic on labor and social security issues,About the draft Law,Empty
719,On social partnership in the field of labor relations in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
720,On acts of civil status,On amendments to the Law of the Kyrgyz Republic,About the draft Law
721,"On Domestic Trade in the Kyrgyz Republic, Code of Offences)",On amendments to some legislative acts of the Kyrgyz Republic (the law,About the draft Law
722,About cooperatives,On amendments to the Law of the Kyrgyz Republic,About the draft Law
723,About the National Archival Fund of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
724,About refugees,On amendments to the Law of the Kyrgyz Republic,About the draft Law
725,On the privatization of state property in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
726,About the Accounting Chamber of the Kyrgyz Republic,About the draft Law,Empty
727,On the approval of the Program for the Effective Management and Disposal of Nationalized Facilities,"On approval of the Program of Privatization of State Property in the Kyrgyz Republic for 2023-2025 and on amendments to Resolution No. 941-V of the Jogorku Kenesh of the Kyrgyz Republic dated July 8, 2011",On the draft resolution of the Jogorku Kenesh
728,On the invalidation of certain legislative acts of the Kyrgyz Republic,About the draft Law,Empty
729,On the basics of state policy to support compatriots abroad,On amendments to the Law of the Kyrgyz Republic,About the draft Law
730,"On ratification of the Protocol on Amendments to the Agreement on Common Principles and Rules for the Circulation of Medical Devices (Medical Devices and Medical Equipment) within the Framework of the Eurasian Economic Union dated December 23, 2014, signed on December 30, 2021 in Moscow",About the draft Law,Empty
731,About state and municipal services,On amendments to the Law of the Kyrgyz Republic,About the draft Law
732,About forensic expertise,On amendments to the Law of the Kyrgyz Republic,About the draft Law
733,On amendments to some legislative acts of the Kyrgyz Republic in the field of local self-government,About the draft Law,Empty
734,"On ratification of the Protocol on Amendments to the Agreement on Common Principles and Rules for the Circulation of Medical Devices (Medical Devices and Medical Equipment) within the Framework of the Eurasian Economic Union dated December 23, 2014, signed on June 10, 2022 in the city of Nur Sultan",About the draft Law,Empty
735,"Strengthening social assistance and labor market programs signed on October 5, 2022 in Bishkek",On the ratification of the Financing Agreement between the Kyrgyz Republic and the International Development Association for the project,About the draft Law
736,"Modernization and sustainable development of the electric power sector, signed on October 5, 2022 in Bishkek",On the ratification of the Financing Agreement between the Kyrgyz Republic and the International Development Association (World Bank) on the project,About the draft Law
